geometry,Block,Lot,CD,BCTCB2020,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,Latitude,Longitude,Shape_Area,centroid,latitude,longitude,entrance_count,line_count,accessible_count,subway_score
POINT (-74.0422361455913 40.69603770708631),1,101,101,10001001001,1,1001,02,1,10004,E007,1,15,8200,1 LIBERTY ISLAND,R3-2,,,,,,P7,08,0,X,U S GOVT LAND & BLDGS,541886,541886,541886,0,0,0,0,0,0,541886,2,10,0.0,0,0,500.0,1046.0,0.0,0.0,N,0,5,0,4225950.0,14355900.0,14355900.0,1900,0,0,Individual Landmark,INDIVIDUAL LANDMARK,1.0,0.5,0.0,1.0,1000010101.0,0,0001,971677,190636,16a,199 999,10101,,0.0,,1,40.6899196,-74.0453371,501897.258958,POINT (972538.0309969352 192864.5817022555),40.69603770708631,-74.0422361455913,0,0,0,1.0
POINT (-73.98589374532264 40.711279569460984),245,1,103,10002012001,2.01,2001,01,1,10002,E015,7,14,8000,286 SOUTH STREET,C6-4,R7-2,,,,,D6,04,0,O,NYC HOUSING AUTHORITY,31654,277260,2000,275260,0,2000,0,0,0,0,2,1,27.0,250,252,162.08,197.17,161.0,160.0,N,1,3,2,1057500.0,26404200.0,26404200.0,1975,1989,0,,,8.76,10.0,10.0,10.0,1002450001.0,0,000201,988072,198270,12d,101N057,10106,,0.0,01/04/2022,1,40.7108812,-73.9862139,33793.0953455,POINT (988160.732185536 198415.13942423678),40.711279569460984,-73.98589374532264,4,1,0,1.3421052631578947
POINT (-73.98106536844682 40.712181819267194),260,1,103,10002022001,2.02,3002,01,1,10002,E015,7,14,8000,636 WATER STREET,R7-2,R7-2,,,C1-5,,D9,03,0,O,NYC HOUSING AUTHORITY,261850,513000,0,513000,0,0,0,0,0,0,2,10,6.0,813,813,405.08,634.58,131.0,47.0,N,1,3,2,7294050.0,24886350.0,24886350.0,1940,1986,0,Individual Landmark,INDIVIDUAL LANDMARK,1.96,3.44,0.0,6.5,1002600001.0,0,000202,988998,198801,12d,101N059,10106,,0.0,07/25/2023,1,40.7123383,-73.9828734,279412.522753,POINT (989499.250929286 198744.10880674716),40.712181819267194,-73.98106536844682,0,0,0,1.0
POINT (-74.01909341647537 40.68877283740574),1,10,101,10005000003,5,1000,02,1,10004,E007,1,15,8100,301 COMFORT ROAD,R3-2,C4-1,,,,,Y4,08,0,X,GOVERNORS ISLAND CORPORATION,7600835,2542066,2542066,0,0,0,0,0,0,2542066,2,133,3.5,0,1,0.0,0.0,0.0,0.0,N,0,5,1,102535195.0,160929900.0,160929900.0,1900,0,0,Governors Island Historic District,INDIVIDUAL LANDMARK,0.33,0.5,0.0,1.0,1000010010.0,0,0005,979063,190216,16a,199 999,10101,,1000010010.0,09/20/2024,1,40.6887742,-74.0187035,7414501.67473,POINT (978954.8701403602 190215.5297259636),40.68877283740574,-74.01909341647537,0,0,0,1.0
POINT (-73.98961434841934 40.7121677712266),246,1,103,10006006000,6,6000,01,1,10002,E015,7,14,7800,275 SOUTH STREET,C6-4,PARK,,,C1-5,,D6,04,0,X,275 NELSON APARTMENTS LLC,51180,262875,1000,261875,0,1000,0,0,0,0,2,1,19.0,256,258,361.58,152.0,60.0,235.0,N,1,1,0,1516950.0,33809400.0,33809400.0,1978,0,0,Individual Landmark,INDIVIDUAL LANDMARK,5.14,10.0,10.0,10.0,1002460001.0,0,0006,987656,198206,12d,101N055,10106,E-489,1002460001.0,03/16/2011,1,40.7107057,-73.9877145,49958.3963567,POINT (987129.2164687484 198738.5940341651),40.7121677712266,-73.98961434841934,4,1,0,1.3421052631578947
POINT (-74.00834265646516 40.705978975164705),26,21,101,10007002000,7,1009,02,1,10005,L015,1,15,7700,45 WALL STREET,C5-5,,,,,,D9,03,0,C,45 WALL ST. L.L.C.,20249,493187,36487,456700,0,12487,24000,0,0,0,2,1,27.0,435,440,107.5,184.87,107.0,185.0,N,0,3,2,4725000.0,58132800.0,0.0,1958,1996,0,Individual Landmark,INDIVIDUAL LANDMARK,24.36,10.0,15.0,15.0,1000260021.0,0,0007,981500,196567,12b,101S005,10101,,0.0,08/25/1988,1,40.7062073,-74.0099187,21686.9741722,POINT (981936.9487727522 196483.76838915577),40.705978975164705,-74.00834265646516,67,12,1,6.415263157894737
POINT (-73.99468466871639 40.711842555157354),249,56,103,10008006026,8,6019,01,1,10002,E009,5,14,7800,74 PIKE SLIP,M1-4,C6-1G,,,C1-5,,Q6,09,0,C,NYC DEPARTMENT OF SANITATION,21855,0,0,0,0,0,0,0,0,0,7,0,0.0,0,0,164.75,120.08,0.0,0.0,N,0,3,0,767700.0,767700.0,767700.0,1949,0,0,Individual Landmark,INDIVIDUAL LANDMARK,0.0,0.0,2.0,6.5,1002490056.0,0,0008,986308,198148,12d,101N053,10106,,0.0,11/26/1997,1,40.710547,-73.9925767,20660.0036399,POINT (985723.5776513729 198619.9819891713),40.711842555157354,-73.99468466871639,4,1,0,1.3421052631578947
POINT (-74.01142187557515 40.70338984128879),2,1,101,10009001022,9,1025,02,1,10004,L015,1,15,7700,4 SOUTH STREET,M1-4,C5-5,,,,,Y7,07,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,209215,280000,280000,0,0,0,0,0,0,280000,2,1,5.0,0,1,314.28,564.84,268.0,210.0,N,1,2,0,18818100.0,33103350.0,33103350.0,1908,2006,2006,Individual Landmark,INDIVIDUAL LANDMARK,1.34,0.0,2.0,6.5,1000020001.0,0,0009,980670,194440,12b,101N100,10101,,1000020001.0,08/07/2012,1,40.7003689,-74.0129112,100825.005984,POINT (981083.0939289862 195540.56567087234),40.70338984128879,-74.01142187557515,43,9,2,5.148947368421053
POINT (-73.97502699659137 40.71814113915227),316,200,103,10010011014,10.01,1000,01,1,10002,L018,7,14,7600,GRAND STREET,PARK,,,,,,Q1,09,0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2232500,8750,8750,0,0,0,0,0,0,8750,2,4,1.0,0,1,100.0,100.0,28.0,70.0,N,0,5,0,49218750.0,56788650.0,56788650.0,1910,0,0,,,0.0,0.0,0.0,0.0,1003160200.0,0,001001,991620,201279,12c,101N111,10201,,0.0,,1,40.719138,-73.9734128,1469959.25551,POINT (991172.6507089667 200915.69002437912),40.71814113915227,-73.97502699659137,0,0,0,1.0
POINT (-73.97773558342227 40.717484775647776),323,1,103,10010022001,10.02,2002,01,2,10002,L018,7,14,7600,288 DELANCEY STREET,R7-2,,,,,,D3,03,0,O,NYC HOUSING AUTHORITY,1206975,2948300,0,2948300,0,0,0,0,0,0,2,20,14.0,2391,2391,898.67,1198.0,195.83,65.83,N,0,5,0,32398200.0,124702200.0,124702200.0,1962,0,0,,,2.44,3.44,0.0,6.5,1003230001.0,0,001002,990401,200658,12c,102 038,10201,,0.0,,1,40.7174344,-73.9778109,1210254.55725,POINT (990421.8766851177 200676.3542832142),40.717484775647776,-73.97773558342227,0,0,0,1.0
