the_geom,GEOID,FSHRI,FVI_storm_surge_present,FVI_storm_surge_2050s,FVI_storm_surge_2080s,FVI_tidal_2020s,FVI_tidal_2050s,FVI_tidal_2080s,flood_risk_score
"MULTIPOLYGON (((-73.98701500000001 40.76103799999999, -73.986561 40.76165999999999, -73.98610400000001 40.76229, -73.98405 40.76142400000001, -73.983263 40.761094, -73.980426 40.759899000000004, -73.980886 40.75927, -73.981341 40.75864499999998, -73.982256 40.757387, -73.985085 40.75858899999999, -73.985322 40.758687, -73.987927 40.759791, -73.98701500000001 40.76103799999999)))",36061012500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.969337 40.763546999999996, -73.967974 40.765413, -73.966359 40.764732, -73.964755 40.764058, -73.965214 40.763432, -73.96567 40.762804999999986, -73.966128 40.76218, -73.966583 40.761552, -73.968187 40.762227, -73.969801 40.762914, -73.969337 40.763546999999996)))",36061011402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.989297 40.75790699999999, -73.988842 40.75853300000001, -73.988391 40.759164, -73.987927 40.759791, -73.985322 40.758687, -73.985085 40.75858899999999, -73.982256 40.757387, -73.983624 40.755516, -73.984118 40.754842, -73.986398 40.755804000000005, -73.986949 40.756036, -73.989791 40.757234, -73.989297 40.75790699999999)))",36061011900,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.954482 40.77813900000001, -73.953984 40.77882199999999, -73.952259 40.77809299999999, -73.951743 40.77787499999999, -73.949374 40.776876, -73.949872 40.776196, -73.950339 40.775564, -73.95270500000001 40.776560999999994, -73.954945 40.77750399999999, -73.954482 40.77813900000001)))",36061014601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.940861 40.808334, -73.940404 40.808958, -73.939949 40.809582000000006, -73.939018 40.81085600000001, -73.937408 40.810176000000006, -73.935819 40.809502999999985, -73.936725 40.80822400000001, -73.936962 40.807897000000004, -73.937636 40.80697500000001, -73.938544 40.80573, -73.940157 40.806409, -73.941771 40.80708899999999, -73.940861 40.808334)))",36061020600,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.961548 40.806136, -73.961316 40.806455, -73.960106 40.80812, -73.958407 40.807419, -73.959357 40.806121, -73.959826 40.805435, -73.960074 40.804705999999996, -73.962008 40.805508999999994, -73.961548 40.806136)))",36061020101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.941634 40.84343700000001, -73.941142 40.844048999999984, -73.940795 40.844686, -73.940518 40.845369, -73.939221 40.844829999999995, -73.938855 40.84467899999999, -73.938731 40.844635999999994, -73.937518 40.844136999999996, -73.937145 40.84398000000001, -73.936126 40.84355, -73.9357 40.843376, -73.934671 40.84295800000002, -73.935141 40.842310999999995, -73.935567 40.841713, -73.936041 40.841067999999986, -73.936464 40.84048200000001, -73.937929 40.84108699999999, -73.939334 40.841680999999994, -73.942013 40.84281, -73.941634 40.84343700000001)))",36061025300,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.975976 40.78636900000001, -73.975513 40.78700299999999, -73.97501600000001 40.787687, -73.972175 40.786487, -73.96933500000002 40.785294, -73.969832 40.784611, -73.970301 40.783975000000005, -73.97076 40.783339999999995, -73.971223 40.782706, -73.97405800000001 40.78390099999999, -73.976902 40.785098, -73.975976 40.78636900000001)))",36061016900,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.970858 40.79338000000001, -73.970368 40.794050999999996, -73.96987 40.79473599999999, -73.967012 40.793559999999985, -73.964176 40.79236199999999, -73.964685 40.79166399999999, -73.965177 40.79099099999999, -73.965632 40.790365, -73.968466 40.791562, -73.968793 40.791698999999994, -73.971316 40.792753, -73.970858 40.79338000000001)))",36061018100,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.919458 40.872249, -73.917176 40.87249899999999, -73.916278 40.87211599999999, -73.915056 40.87160299999999, -73.914009 40.87116, -73.91518300000001 40.869550999999994, -73.916275 40.869583, -73.916973 40.87014799999999, -73.917916 40.870923, -73.918564 40.87147900000001, -73.919458 40.872249)))",36061030700,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.987879 40.717408999999996, -73.98736 40.71837, -73.986752 40.719593, -73.985074 40.71908299999999, -73.983395 40.71857099999999, -73.984071 40.71725899999999, -73.985013 40.715438, -73.985867 40.715697, -73.986721 40.71595200000001, -73.988367 40.71644599999998, -73.987879 40.717408999999996)))",36061001402,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
