BoroCT2020,CT2020,NTACode,CDTACode
1000100,100,MN0191,MN01
1000500,500,MN0191,MN01
1031900,31900,MN0191,MN01
1008100,8100,MN0401,MN04
1008300,8300,MN0401,MN04
1008700,8700,MN0401,MN04
1008900,8900,MN0401,MN04
1009100,9100,MN0401,MN04
1009300,9300,MN0401,MN04
1009700,9700,MN0401,MN04
1009901,9901,MN0401,MN04
1009902,9902,MN0401,MN04
1009903,9903,MN0401,MN04
1010300,10300,MN0401,MN04
1011100,11100,MN0401,MN04
1011700,11700,MN0401,MN04
1000201,201,MN0301,MN03
1000600,600,MN0301,MN03
1000800,800,MN0301,MN03
1001600,1600,MN0301,MN03
1002500,2500,MN0301,MN03
1002700,2700,MN0301,MN03
1002902,2902,MN0301,MN03
1014300,14300,MN6491,MN64
1017800,17800,MN1102,MN11
1018000,18000,MN1102,MN11
1018200,18200,MN1102,MN11
1018400,18400,MN1102,MN11
1018800,18800,MN1102,MN11
1019200,19200,MN1102,MN11
1019400,19400,MN1102,MN11
1019600,19600,MN1102,MN11
1019800,19800,MN1102,MN11
1020600,20600,MN1102,MN11
1021000,21000,MN1102,MN11
1024200,24200,MN1102,MN11
1015602,15602,MN1101,MN11
1015802,15802,MN1101,MN11
1016002,16002,MN1101,MN11
1016200,16200,MN1101,MN11
1016400,16400,MN1101,MN11
1016600,16600,MN1101,MN11
1016800,16800,MN1101,MN11
1017000,17000,MN1101,MN11
1017200,17200,MN1101,MN11
1017401,17401,MN1101,MN11
1017402,17402,MN1101,MN11
1008603,8603,MN0604,MN06
1009000,9000,MN0604,MN06
1009200,9200,MN0604,MN06
1009800,9800,MN0604,MN06
1010000,10000,MN0604,MN06
1010601,10601,MN0604,MN06
1010801,10801,MN0604,MN06
1010802,10802,MN0604,MN06
1010803,10803,MN0604,MN06
1011203,11203,MN0604,MN06
1002000,2000,MN0303,MN03
1002202,2202,MN0303,MN03
1002400,2400,MN0303,MN03
1002601,2601,MN0303,MN03
1002602,2602,MN0303,MN03
1002800,2800,MN0303,MN03
1003002,3002,MN0303,MN03
1003200,3200,MN0303,MN03
1003400,3400,MN0303,MN03
1003602,3602,MN0303,MN03
1003800,3800,MN0303,MN03
1004001,4001,MN0303,MN03
1004002,4002,MN0303,MN03
1004200,4200,MN0303,MN03
1000700,700,MN0101,MN01
1000900,900,MN0101,MN01
1001300,1300,MN0101,MN01
1001501,1501,MN0101,MN01
1001502,1502,MN0101,MN01
1031703,31703,MN0101,MN01
1031704,31704,MN0101,MN01
1004800,4800,MN0602,MN06
1005000,5000,MN0602,MN06
1006400,6400,MN0602,MN06
1006800,6800,MN0602,MN06
1005501,5501,MN0202,MN02
1005502,5502,MN0202,MN02
1005700,5700,MN0202,MN02
1005900,5900,MN0202,MN02
1006100,6100,MN0202,MN02
1006300,6300,MN0202,MN02
1006500,6500,MN0202,MN02
1031100,31100,MN1291,MN12
1011500,11500,MN0402,MN04
1012101,12101,MN0402,MN04
1012102,12102,MN0402,MN04
1012700,12700,MN0402,MN04
1012901,12901,MN0402,MN04
1012902,12902,MN0402,MN04
1013300,13300,MN0402,MN04
1013501,13501,MN0402,MN04
1013502,13502,MN0402,MN04
1013900,13900,MN0402,MN04
1022500,22500,MN0903,MN09
1022700,22700,MN0903,MN09
1022900,22900,MN0903,MN09
1023100,23100,MN0903,MN09
1023300,23300,MN0903,MN09
1023501,23501,MN0903,MN09
1023700,23700,MN0903,MN09
1020800,20800,MN1002,MN10
1021200,21200,MN1002,MN10
1021400,21400,MN1002,MN10
1021500,21500,MN1002,MN10
1022102,22102,MN1002,MN10
1022400,22400,MN1002,MN10
1022600,22600,MN1002,MN10
1022800,22800,MN1002,MN10
1023000,23000,MN1002,MN10
1023200,23200,MN1002,MN10
1023400,23400,MN1002,MN10
1023502,23502,MN1002,MN10
1023600,23600,MN1002,MN10
1024302,24302,MN1002,MN10
1025900,25900,MN1002,MN10
1018600,18600,MN1001,MN10
1019000,19000,MN1001,MN10
1019702,19702,MN1001,MN10
1020000,20000,MN1001,MN10
1020102,20102,MN1001,MN10
1021600,21600,MN1001,MN10
1021800,21800,MN1001,MN10
1022000,22000,MN1001,MN10
1022200,22200,MN1001,MN10
1025700,25700,MN1001,MN10
1029100,29100,MN1203,MN12
1029300,29300,MN1203,MN12
1029500,29500,MN1203,MN12
1029900,29900,MN1203,MN12
1030300,30300,MN1203,MN12
1030700,30700,MN1203,MN12
1029700,29700,MN1292,MN12
1030900,30900,BX0802,BX08
1000202,202,MN0302,MN03
1001001,1001,MN0302,MN03
1001002,1002,MN0302,MN03
1001200,1200,MN0302,MN03
1001401,1401,MN0302,MN03
1001402,1402,MN0302,MN03
1001800,1800,MN0302,MN03
1002201,2201,MN0302,MN03
1003001,3001,MN0302,MN03
1003601,3601,MN0302,MN03
1008200,8200,MN0502,MN05
1008400,8400,MN0502,MN05
1009400,9400,MN0502,MN05
1009600,9600,MN0502,MN05
1010200,10200,MN0502,MN05
1010400,10400,MN0502,MN05
1010900,10900,MN0502,MN05
1011201,11201,MN0502,MN05
1011202,11202,MN0502,MN05
1011300,11300,MN0502,MN05
1011900,11900,MN0502,MN05
1012500,12500,MN0502,MN05
1013100,13100,MN0502,MN05
1013700,13700,MN0502,MN05
1005200,5200,MN0501,MN05
1005400,5400,MN0501,MN05
1005600,5600,MN0501,MN05
1005800,5800,MN0501,MN05
1007400,7400,MN0501,MN05
1007600,7600,MN0501,MN05
1009500,9500,MN0501,MN05
1010100,10100,MN0501,MN05
1021303,21303,MN0902,MN09
1021703,21703,MN0902,MN09
1021900,21900,MN0902,MN09
1022301,22301,MN0902,MN09
1022302,22302,MN0902,MN09
1019701,19701,MN0901,MN09
1019900,19900,MN0901,MN09
1020101,20101,MN0901,MN09
1020300,20300,MN0901,MN09
1020500,20500,MN0901,MN09
1020701,20701,MN0901,MN09
1020901,20901,MN0901,MN09
1021100,21100,MN0901,MN09
1006200,6200,MN0603,MN06
1006600,6600,MN0603,MN06
1007001,7001,MN0603,MN06
1007002,7002,MN0603,MN06
1007200,7200,MN0603,MN06
1007800,7800,MN0603,MN06
1008000,8000,MN0603,MN06
1008601,8601,MN0603,MN06
1008800,8800,MN0603,MN06
1024000,24000,MN1191,MN11
1003700,3700,MN0201,MN02
1004100,4100,MN0201,MN02
1004300,4300,MN0201,MN02
1004500,4500,MN0201,MN02
1004700,4700,MN0201,MN02
1004900,4900,MN0201,MN02
1004400,4400,MN0601,MN06
1006000,6000,MN0601,MN06
1002100,2100,MN0102,MN01
1002901,2901,MN0102,MN01
1003100,3100,MN0102,MN01
1003300,3300,MN0102,MN01
1003900,3900,MN0102,MN01
1011401,11401,MN0802,MN08
1011402,11402,MN0802,MN08
1012000,12000,MN0802,MN08
1012200,12200,MN0802,MN08
1012800,12800,MN0802,MN08
1013000,13000,MN0802,MN08
1014000,14000,MN0802,MN08
1014200,14200,MN0802,MN08
1014801,14801,MN0802,MN08
1014802,14802,MN0802,MN08
1015001,15001,MN0802,MN08
1015002,15002,MN0802,MN08
1015801,15801,MN0802,MN08
1016001,16001,MN0802,MN08
1010602,10602,MN0801,MN08
1011000,11000,MN0801,MN08
1011600,11600,MN0801,MN08
1011800,11800,MN0801,MN08
1012400,12400,MN0801,MN08
1012601,12601,MN0801,MN08
1012602,12602,MN0801,MN08
1013201,13201,MN0801,MN08
1013202,13202,MN0801,MN08
1013203,13203,MN0801,MN08
1013400,13400,MN0801,MN08
1023802,23802,MN0801,MN08
1023803,23803,MN0801,MN08
1023804,23804,MN0801,MN08
1013601,13601,MN0803,MN08
1013602,13602,MN0803,MN08
1013603,13603,MN0803,MN08
1013604,13604,MN0803,MN08
1013800,13800,MN0803,MN08
1014401,14401,MN0803,MN08
1014402,14402,MN0803,MN08
1014601,14601,MN0803,MN08
1014602,14602,MN0803,MN08
1015200,15200,MN0803,MN08
1015401,15401,MN0803,MN08
1015402,15402,MN0803,MN08
1015403,15403,MN0803,MN08
1015601,15601,MN0803,MN08
1008602,8602,MN0661,MN06
1016100,16100,MN0702,MN07
1016300,16300,MN0702,MN07
1016500,16500,MN0702,MN07
1016700,16700,MN0702,MN07
1016900,16900,MN0702,MN07
1017100,17100,MN0702,MN07
1017300,17300,MN0702,MN07
1017500,17500,MN0702,MN07
1017700,17700,MN0702,MN07
1017900,17900,MN0702,MN07
1018100,18100,MN0702,MN07
1018300,18300,MN0702,MN07
1014500,14500,MN0701,MN07
1014700,14700,MN0701,MN07
1014900,14900,MN0701,MN07
1015101,15101,MN0701,MN07
1015102,15102,MN0701,MN07
1015301,15301,MN0701,MN07
1015302,15302,MN0701,MN07
1015501,15501,MN0701,MN07
1015502,15502,MN0701,MN07
1015700,15700,MN0701,MN07
1015900,15900,MN0701,MN07
1018500,18500,MN0703,MN07
1018700,18700,MN0703,MN07
1018900,18900,MN0703,MN07
1019100,19100,MN0703,MN07
1019300,19300,MN0703,MN07
1019500,19500,MN0703,MN07
1026500,26500,MN1202,MN12
1026700,26700,MN1202,MN12
1026900,26900,MN1202,MN12
1027100,27100,MN1202,MN12
1027300,27300,MN1202,MN12
1027500,27500,MN1202,MN12
1027700,27700,MN1202,MN12
1027900,27900,MN1202,MN12
1028100,28100,MN1202,MN12
1028300,28300,MN1202,MN12
1028500,28500,MN1202,MN12
1028700,28700,MN1202,MN12
1023900,23900,MN1201,MN12
1024100,24100,MN1201,MN12
1024301,24301,MN1201,MN12
1024500,24500,MN1201,MN12
1024700,24700,MN1201,MN12
1024900,24900,MN1201,MN12
1025100,25100,MN1201,MN12
1025300,25300,MN1201,MN12
1025500,25500,MN1201,MN12
1026100,26100,MN1201,MN12
1026300,26300,MN1201,MN12
1006700,6700,MN0203,MN02
1006900,6900,MN0203,MN02
1007100,7100,MN0203,MN02
1007300,7300,MN0203,MN02
1007500,7500,MN0203,MN02
1007700,7700,MN0203,MN02
1007900,7900,MN0203,MN02
